t	V	n	m	h
2.75	-69.5603	0.289288	0.0308524	0.624746
2.76	-69.5639	0.289176	0.0308347	0.624885
2.77	-69.5675	0.289065	0.0308172	0.625024
2.78	-69.571	0.288954	0.0307999	0.625162
2.79	-69.5745	0.288843	0.0307828	0.625301
2.8	-69.5779	0.288732	0.0307659	0.62544
2.81	-69.5813	0.288622	0.0307492	0.625578
2.82	-69.5847	0.288511	0.0307327	0.625717
2.83	-69.588	0.288401	0.0307165	0.625856
2.84	-69.5912	0.28829	0.0307004	0.625994
2.85	-69.5944	0.28818	0.0306846	0.626133
2.86	-69.5976	0.28807	0.0306689	0.626271
2.87	-69.6007	0.28796	0.0306535	0.626409
2.88	-69.6038	0.287851	0.0306382	0.626548
2.89	-69.6068	0.287741	0.0306231	0.626686
2.9	-69.6098	0.287631	0.0306083	0.626824
2.91	-69.6128	0.287522	0.0305936	0.626962
2.92	-69.6157	0.287413	0.0305791	0.6271
2.93	-69.6186	0.287304	0.0305648	0.627238
2.94	-69.6214	0.287195	0.0305507	0.627376
2.95	-69.6242	0.287086	0.0305368	0.627514
2.96	-69.6269	0.286977	0.030523	0.627652
2.97	-69.6296	0.286869	0.0305095	0.627789
2.98	-69.6323	0.286761	0.0304961	0.627927
2.99	-69.6349	0.286652	0.0304829	0.628065
3	-69.6375	0.286544	0.0304699	0.628202
3.01	-69.6401	0.286436	0.0304571	0.62834
3.02	-69.6426	0.286328	0.0304444	0.628477
3.03	-69.645	0.286221	0.0304319	0.628614
3.04	-69.6475	0.286113	0.0304196	0.628752
3.05	-69.6499	0.286006	0.0304075	0.628889
3.06	-69.6522	0.285899	0.0303955	0.629026
3.07	-69.6545	0.285792	0.0303837	0.629163
3.08	-69.6568	0.285685	0.0303721	0.6293
3.09	-69.6591	0.285578	0.0303606	0.629436
3.1	-69.6613	0.285471	0.0303493	0.629573
3.11	-69.6635	0.285365	0.0303382	0.62971
3.12	-69.6656	0.285259	0.0303272	0.629846
3.13	-69.6677	0.285152	0.0303164	0.629983
3.14	-69.6698	0.285046	0.0303057	0.630119
3.15	-69.6718	0.284941	0.0302952	0.630256
3.16	-69.6738	0.284835	0.0302849	0.630392
3.17	-69.6757	0.284729	0.0302747	0.630528
3.18	-69.6777	0.284624	0.0302647	0.630664
3.19	-69.6796	0.284519	0.0302548	0.6308
3.2	-69.6814	0.284414	0.0302451	0.630936
3.21	-69.6832	0.284309	0.0302355	0.631071
3.22	-69.685	0.284204	0.0302261	0.631207
3.23	-69.6868	0.284099	0.0302168	0.631343
3.24	-69.6885	0.283995	0.0302077	0.631478
3.25	-69.6902	0.283891	0.0301987	0.631613
3.26	-69.6918	0.283786	0.0301898	0.631749
3.27	-69.6935	0.283682	0.0301811	0.631884
3.28	-69.6951	0.283579	0.0301726	0.632019
3.29	-69.6966	0.283475	0.0301642	0.632154
3.3	-69.6981	0.283371	0.0301559	0.632289
3.31	-69.6996	0.283268	0.0301478	0.632423
3.32	-69.7011	0.283165	0.0301398	0.632558
3.33	-69.7025	0.283062	0.0301319	0.632692
3.34	-69.7039	0.282959	0.0301242	0.632827
3.35	-69.7053	0.282856	0.0301166	0.632961
3.36	-69.7066	0.282754	0.0301092	0.633095
3.37	-69.708	0.282651	0.0301018	0.633229
3.38	-69.7092	0.282549	0.0300946	0.633363
3.39	-69.7105	0.282447	0.0300876	0.633497
3.4	-69.7117	0.282345	0.0300807	0.633631
3.41	-69.7129	0.282244	0.0300739	0.633764
3.42	-69.7141	0.282142	0.0300672	0.633898
3.43	-69.7152	0.282041	0.0300606	0.634031
3.44	-69.7163	0.28194	0.0300542	0.634164
3.45	-69.7174	0.281839	0.0300479	0.634297
3.46	-69.7184	0.281738	0.0300418	0.63443
3.47	-69.7195	0.281637	0.0300357	0.634563
3.48	-69.7205	0.281536	0.0300298	0.634696
3.49	-69.7214	0.281436	0.030024	0.634829
3.5	-69.7224	0.281336	0.0300183	0.634961
3.51	-69.7233	0.281236	0.0300127	0.635093
3.52	-69.7242	0.281136	0.0300073	0.635226
3.53	-69.725	0.281036	0.0300019	0.635358
3.54	-69.7258	0.280937	0.0299967	0.63549
